Name	Type	Description
system_protein_chains_asym_id	str	Chain asymmetric id
system_protein_chains_auth_id	str	Chain author id
system_protein_chains_entity_id	str	Chain entity id
system_protein_chains_chain_type_str	str	Chain type string representation as defined https://openstructure.org/docs/2.8/mol/base/entity/#ost.mol.ChainType
system_protein_chains_length	int	SEQRES length
system_protein_chains_num_unresolved_residues	int	Number of unresolved residues (SEQRES length - len(residues))
system_protein_chains_chain_type	mol.ChainType	Chain type as defined https://openstructure.org/docs/2.8/mol/base/entity/#ost.mol.ChainType         
